threshold_id,paragraph,metric,operator,value,unit,context,threshold_type,regulation_id,section_id
6.3-SGD-202,6.3,transaction_value,>=,20000,SGD,"with any customer; (b) the bank undertakes any transaction of a value exceeding S$20,000, other than any digital token transaction referred to in paragraph 6.3(c), for a",trigger,MAS-626,MAS-626-S6
6.3-SGD-730,6.3,transaction_value,>=,1500,SGD,"unds by domestic wire transfer, or by cross - border wire transfer that exceeds S$1,500, for any customer who has not otherwise established business relations with the",trigger,MAS-626,MAS-626-S6
6.31-SGD-60,6.31,transaction_value,>=,20000,SGD,"A bank that undertakes any transaction of a value exceeding S$20,000, other than any digital token transaction referred to in paragraph 6.31A, or eff",trigger,MAS-626,MAS-626-S6
6.31-SGD-249,6.31,transaction_value,>=,1500,SGD,"funds by domestic wire transfer, or by cross-border wire transfer that exceeds S$1,500, for any customer who does not otherwise have business relations with the bank s",trigger,MAS-626,MAS-626-S6
6.32-SGD-433,6.32,transaction_value,>=,20000,SGD,"e customer; (b) before the bank undertakes any transaction of a value exceeding S$20,000 for the customer, other than any digital token transaction referred to in parag",trigger,MAS-626,MAS-626-S6
6.32-SGD-741,6.32,transaction_value,>=,1500,SGD,"funds by domestic wire transfer, or by cross-border wire transfer that exceeds S$1,500, for any customer who has not otherwise established business relations with the",trigger,MAS-626,MAS-626-S6
6.40-SGD-241,6.40,transaction_value,>=,20000,SGD,"h a customer; (b) when the bank undertakes any transaction of a value exceeding S$20,000, other than any digital token transaction referred to in paragraph 6.40(f), for",trigger,MAS-626,MAS-626-S6
6.40-SGD-530,6.40,transaction_value,>=,1500,SGD,"funds by domestic wire transfer, or by cross-border wire transfer that exceeds S$1,500, for a customer who has not otherwise established business relations with the ba",trigger,MAS-626,MAS-626-S6
11.3-SGD-527,11.3,transaction_value,>=,1500,SGD,"nsferred and the value date. (II) Cross-Border Wire Transfers Below or Equal To S$1,500",trigger,MAS-626,MAS-626-S11
11.4-SGD-88,11.4,transaction_value,>=,1500,SGD,"ss-border wire transfer where the amount to be transferred is below or equal to S$1,500, every bank which is an ordering institution shall include in the message or pay",trigger,MAS-626,MAS-626-S11
11.4-SGD-645,11.4,transaction_value,>=,1500,SGD,"er where no account number exists). (III) Cross-border Wire Transfers Exceeding S$1,500",trigger,MAS-626,MAS-626-S11
11.5-SGD-76,11.5,transaction_value,>=,1500,SGD,"In a cross -border wire transfer where the amount to be transferred exceeds S$1,500, every bank which is an ordering institution shall include in the message or pay",trigger,MAS-626,MAS-626-S11
11.7-TIME-1530,11.7,duration,<=,3,business day,"de the wire transfer originator information set out in paragraph 11.7(a) within 3 business days of a request for such information by the beneficiary institution, by the Author",informational,MAS-626,MAS-626-S11
11.16-SGD-2976,11.16,transaction_value,>=,1500,SGD,"token(s) transferred and the value date. (II) Value Transfers Below or Equal To S$1,500 11A.4 Subject to paragraph 11A.5, in a value transfer where the amount to be tr",trigger,MAS-626,MAS-626-S11
11.16-SGD-3094,11.16,transaction_value,>=,1500,SGD,".5, in a value transfer where the amount to be transferred is below or equal to S$1,500, every bank which is an ordering institution shall include in the message or pay",trigger,MAS-626,MAS-626-S11
11.16-SGD-3697,11.16,transaction_value,>=,1500,SGD,"A.5 In a value transfer where the amount to be transferred is below or equal to S$1,500, every bank which is an ordering institution may, in the message or payment inst",trigger,MAS-626,MAS-626-S11
11.16-SGD-5014,11.16,transaction_value,>=,1500,SGD,"11.4(a) to (d) to the beneficiary institution. (III) Value Transfers Exceeding S$1,500 11A.6 Subject to paragraph 11A.8, in a value transfer where the amount to be tr",trigger,MAS-626,MAS-626-S11
11.16-SGD-5119,11.16,transaction_value,>=,1500,SGD,"paragraph 11A.8, in a value transfer where the amount to be transferred exceeds S$1,500, every bank which is an ordering institution shall identify the value transfer o",trigger,MAS-626,MAS-626-S11
11.16-SGD-6579,11.16,transaction_value,>=,1500,SGD,"isdiction. 11A.8 In a value transfer where the amount to be transferred exceeds S$1,500, every bank which is an ordering institution may, in the message or payment inst",trigger,MAS-626,MAS-626-S11
11.16-TIME-4371,11.16,duration,<=,3,business day,"lue transfer beneficiary information set out in paragraphs11.4(a) to (d) within 3 business days of a request for such information by the intermediary institution in Singapore,",informational,MAS-626,MAS-626-S11
11.16-TIME-7236,11.16,duration,<=,3,business day,"and value transfer beneficiary information set out in paragraph 11A.6 12 within 3 business days of a request for such information by the intermediary institution in Singapore,",informational,MAS-626,MAS-626-S11
12.3-TIME-517,12.3,duration,<=,5,year,"ess correspondence and results of any analysis undertaken, a period of at least 5 years following the termination of such business relations or completion of such wire",informational,MAS-626,MAS-626-S12
12.3-TIME-818,12.3,duration,<=,5,year,"rmation needed to explain and reconstruct the transaction, a period of at least 5 years following the completion of the transaction. 38",informational,MAS-626,MAS-626-S12
